stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
9dd8454e-754d-4fb6-bed6-ec314ffdc711,17,Edgehill Drive,,44.38697443,-79.70892086,0,0
374a251d-4263-4532-adcc-56cba1ec37ab,25,Shirley Avenue,,44.3907245,-79.71217627,0,0
811ef3a7-e547-4174-83d8-68aaab8927c1,13,Castle Drive,,44.39285742,-79.71398784,0,0
4294ac32-6142-45c7-8409-d3446ff3e5c8,28,Valley Drive,,44.39465327,-79.71557114,0,0
6f140df2-53a3-4692-bf22-c664fd35bedc,3,Ecole Catholique,,44.39596232,-79.71669424,0,0
6643da75-c834-4fe5-b51f-69399b37cf58,16,Cundles at Anne,,44.398783,-79.718931,0,0
d12c166d-21ca-4e17-a68e-b5aed2b3afef,245,Cundles at Sunnidale,,44.3995707,-79.71715157,0,0
210eb59a-4c57-42a6-ba28-74811d179a68,239,Coleman Health Care Centre,,44.40060465,-79.71485951,0,0
362a4bec-4b37-4b5e-995d-52b26bc6a9a1,235,Cundles at Kozlov,,44.403534,-79.706866,0,0
559beb10-9714-4439-b856-be5ca609c821,415,Kozlov at Cundles,,44.40499142,-79.70684254,0,0
df376b10-8be4-4970-92ad-3eda2285b5b0,416,Heather Street,,44.40678734,-79.70875024,0,0
89d12037-e065-48f9-9478-dcc9fb7c59f2,901,Gloria Street,,44.40735307,-79.71133586,0,0
943c6d3d-0481-4fd5-b33c-9983ebe81c3f,635,Rolston Drive,,44.41537373,-79.69230844,0,0
0681de9f-faaf-4c55-9c0a-47b94d2a5e2d,105,Alliance Boulevard,,44.40923713,-79.67933789,0,0
6068a062-fa86-4075-9372-6e27217b609f,63,Rose at Bayfield,,44.3988698362821,-79.6975102122575,0,0
7f2dce04-f5bd-4707-9bd9-aeefd50610bb,329,Georgian at Govenors,,44.4144616428317,-79.668493314166,0,0
26f47c01-7812-409f-bd9e-127b6cd2ff02,89,Bayfield at Chase McEachern,,44.3884489290011,-79.6893494311657,0,0
909cd935-2d3c-4b03-8f68-73608cce0ef5,400,Johnson at Napier,Blake at Johnson,44.39796716,-79.65635548,0,0
cd494664-18c5-490f-a355-008b3d3cfdb0,697,135 Wellington Place,,44.38842266,-79.70540222,0,0
0e78b596-ba09-4465-b49b-95d6f427a467,606,Red Oak at Sundew,,44.327712,-79.733342,0,0
ffacd792-8f23-49ca-a2c5-c3c246e15909,640,Sundew at Red Oak,,44.328088,-79.733158,0,0
b53a5a1d-1d99-4760-bd08-25809a348194,191,Owen Street,,44.390480034976,-79.6876996569454,0,0
